word,start,end,score,speaker
Dewan,35.151,35.291,0.786,SPEAKER_05
Juri?,35.331,35.671,0.892,SPEAKER_05
Nilai,38.973,39.313,0.661,SPEAKER_01
minus,39.393,39.773,0.66,SPEAKER_01
5.,39.913,40.133,0.834,SPEAKER_01
Minus,40.833,41.594,0.79,SPEAKER_02
5,41.814,42.234,0.881,SPEAKER_05
untuk,42.294,42.494,0.884,SPEAKER_05
grup,42.574,42.814,0.93,SPEAKER_05
C.,42.934,42.974,0.912,SPEAKER_05
"Baik,",43.255,43.635,0.647,SPEAKER_05
artinya,43.735,44.055,0.99,SPEAKER_05
ini,44.075,44.135,0.037,SPEAKER_05
kesempatan,44.175,44.535,0.804,SPEAKER_05
untuk,44.575,44.735,0.615,SPEAKER_05
grup,44.795,44.955,0.903,SPEAKER_05
A,45.035,45.055,0.932,SPEAKER_05
dan,45.135,45.255,0.503,SPEAKER_05
juga,45.336,45.536,0.872,SPEAKER_05
grup,45.656,45.876,0.817,SPEAKER_05
B.,45.896,46.136,0.673,SPEAKER_05
"B,",47.797,47.997,0.89,SPEAKER_05
4.,48.077,48.117,0.76,SPEAKER_05
Anggota,49.987,50.347,0.881,SPEAKER_04
Badan,50.407,50.888,0.774,SPEAKER_04
Pemeriksa,51.088,51.588,0.817,SPEAKER_04
Keuangan,51.668,52.229,0.733,SPEAKER_04
dipilih,52.549,52.929,0.966,SPEAKER_04
oleh,52.969,53.189,0.912,SPEAKER_04
Dewan,53.269,53.529,0.885,SPEAKER_04
Perwakilan,53.609,54.19,0.844,SPEAKER_04
Rakyat,54.27,54.69,0.709,SPEAKER_04
dengan,55.03,55.311,0.909,SPEAKER_04
memperhatikan,55.391,56.111,0.879,SPEAKER_04
pertimbangan,56.211,56.732,0.662,SPEAKER_04
Dewan,56.812,57.092,0.852,SPEAKER_04
Perwakilan,57.172,57.652,0.88,SPEAKER_04
Daerah,57.712,58.112,0.95,SPEAKER_04
dan,58.273,58.453,0.85,SPEAKER_04
diresmikan,58.553,59.153,0.847,SPEAKER_04
oleh,59.253,59.453,0.752,SPEAKER_04
Presiden.,59.513,60.014,0.773,SPEAKER_04
Silahkan,60.654,60.914,0.757,SPEAKER_05
Dewan,60.934,61.114,0.827,SPEAKER_05
Juri.,61.175,61.455,0.67,SPEAKER_05
"Ya,",67.859,68.079,0.833,SPEAKER_01
inti,68.219,68.82,0.707,SPEAKER_01
jawabannya,68.94,69.44,0.978,SPEAKER_01
sudah,69.52,69.82,0.879,SPEAKER_01
benar.,69.94,70.221,0.745,SPEAKER_01
Nilai,71.662,72.022,0.553,SPEAKER_01
10.,72.042,72.102,0.965,SPEAKER_01
10,72.122,72.162,1.0,SPEAKER_01
poin,72.342,72.502,0.2,SPEAKER_01
untuk,72.522,72.702,0.532,SPEAKER_01
grup,72.722,77.966,0.492,SPEAKER_00
B.,78.006,78.066,0.318,SPEAKER_01
Reku,78.146,78.946,0.798,SPEAKER_01
C,79.247,79.267,0.015,SPEAKER_01
ya.,79.427,79.507,0.982,SPEAKER_01
itu,80.382,81.102,0.964,SPEAKER_01
pertimbangan,81.303,81.983,0.871,SPEAKER_01
dari,82.063,82.323,0.723,SPEAKER_01
DPD-nya,82.443,83.124,0.834,SPEAKER_01
tidak,83.544,83.744,0.893,SPEAKER_01
"ada,",83.804,84.064,0.99,SPEAKER_01
DPR,84.424,84.885,0.729,SPEAKER_01
tadi.,84.985,85.405,0.562,SPEAKER_02
"Ada,",85.725,86.025,0.851,SPEAKER_02
ada.,87.346,87.806,0.49,SPEAKER_02
Ada.,89.287,89.848,0.941,SPEAKER_02
Tadi,90.668,90.848,0.9,SPEAKER_02
saya,90.908,91.068,0.628,SPEAKER_02
mengatakan,91.108,91.428,0.527,SPEAKER_02
seperti,91.448,91.609,0.215,SPEAKER_02
"ini,",91.669,91.969,0.948,SPEAKER_02
anggota,92.289,92.569,0.782,SPEAKER_02
badan,92.629,92.809,0.52,SPEAKER_02
pemiksa,92.849,93.189,0.595,SPEAKER_02
keuangan,93.23,93.63,0.597,SPEAKER_02
dipilih,93.67,93.91,0.502,SPEAKER_02
oleh,93.93,94.03,0.126,SPEAKER_02
Dewan,94.41,94.65,0.728,SPEAKER_02
Perwakilan,94.69,94.991,0.607,SPEAKER_02
Rakyat,95.011,95.251,0.45,SPEAKER_02
dengan,95.291,95.471,0.882,SPEAKER_02
memerhatikan,95.511,95.911,0.554,SPEAKER_02
pertimbangan,95.931,96.271,0.59,SPEAKER_02
Dewan,96.311,96.451,0.249,SPEAKER_02
Perwakilan,96.491,96.812,0.681,SPEAKER_02
Daerah,96.852,97.172,0.736,SPEAKER_02
dan,97.552,97.712,0.771,SPEAKER_02
diresmikan,97.792,98.232,0.663,SPEAKER_02
oleh,98.292,98.413,0.99,SPEAKER_02
Presiden.,98.453,98.953,0.836,SPEAKER_02
Jadi,100.694,101.174,0.892,SPEAKER_01
Dewan,101.274,101.534,0.862,SPEAKER_01
Juri,101.634,102.075,0.692,SPEAKER_01
tadi,102.715,103.275,0.751,SPEAKER_01
berpendapat,104.976,105.537,0.833,SPEAKER_01
enggak,105.557,105.917,0.66,SPEAKER_01
ada,105.977,106.197,0.916,SPEAKER_01
itu,106.257,106.437,0.664,SPEAKER_01
Dewan,106.477,106.737,0.815,SPEAKER_01
Perwakilan,107.018,107.378,0.347,SPEAKER_01
Daerah.,107.398,107.658,0.45,SPEAKER_01
Baik,109.295,109.455,0.88,SPEAKER_02
"adik-adik,",109.495,110.216,0.685,SPEAKER_05
mohon,110.336,110.536,0.927,SPEAKER_05
diterima.,110.576,111.016,0.981,SPEAKER_05
Mungkin,111.437,111.717,0.819,SPEAKER_02
boleh,111.797,111.977,0.919,SPEAKER_02
bisa,112.037,112.658,0.804,SPEAKER_02
melihat,113.238,113.458,0.811,SPEAKER_02
pandangan,113.518,113.858,0.877,SPEAKER_02
dari,113.898,114.018,0.778,SPEAKER_02
yang,114.058,114.159,0.876,SPEAKER_02
lain,114.199,114.399,0.723,SPEAKER_02
juga.,114.479,114.739,0.958,SPEAKER_02
Mungkin,114.899,115.099,0.901,SPEAKER_02
dari,115.139,115.259,0.875,SPEAKER_02
"penonton,",115.339,115.8,0.926,SPEAKER_02
apakah,115.96,116.36,0.852,SPEAKER_02
ada,116.8,116.9,1.0,SPEAKER_02
yang,116.92,117.04,0.752,SPEAKER_02
mendengar,117.06,117.421,0.753,SPEAKER_02
saya,117.481,117.601,0.875,SPEAKER_02
mengatakan,117.641,118.021,0.854,SPEAKER_02
DPD?,118.061,118.501,0.816,SPEAKER_02
Keputusan,124.585,125.086,0.834,SPEAKER_01
saya,125.126,125.286,0.562,SPEAKER_01
kira,125.306,125.666,0.44,SPEAKER_01
di,125.766,125.866,0.95,SPEAKER_01
Dewan,125.926,126.127,0.628,SPEAKER_01
Juri,126.207,126.427,0.822,SPEAKER_01
ya.,126.467,126.607,0.776,SPEAKER_01
"Betul,",127.832,128.092,0.761,SPEAKER_05
baik,128.132,128.272,0.885,SPEAKER_05
adik-adik,128.292,128.672,0.926,SPEAKER_05
mohon,128.733,128.913,0.339,SPEAKER_05
diterima,128.953,129.313,0.778,SPEAKER_05
keputusan,129.373,129.793,0.915,SPEAKER_05
Dewan,129.893,130.253,0.776,SPEAKER_05
Juri.,130.393,130.774,0.898,SPEAKER_05
Karena,131.134,131.374,0.666,SPEAKER_05
tentunya,131.454,132.274,0.772,SPEAKER_05
Dewan,132.555,132.835,0.958,SPEAKER_05
Juri,132.935,133.075,0.696,SPEAKER_05
yang,133.115,133.255,0.786,SPEAKER_05
hadir,133.355,133.695,0.752,SPEAKER_05
hari,133.895,134.135,0.682,SPEAKER_05
ini,134.175,134.436,0.921,SPEAKER_05
sudah,134.496,134.696,0.811,SPEAKER_05
sangat,134.756,134.976,0.736,SPEAKER_05
berkompeten,135.056,135.616,0.851,SPEAKER_05
dan,135.896,136.056,0.706,SPEAKER_05
sangat,136.157,136.437,0.893,SPEAKER_05
teliti,136.557,137.317,0.932,SPEAKER_05
untuk,137.397,137.557,0.866,SPEAKER_05
mendengarkan,137.597,138.018,0.909,SPEAKER_05
jawaban,138.098,138.418,0.827,SPEAKER_05
dari,138.498,138.658,0.736,SPEAKER_05
adik-adik.,138.738,139.358,0.988,SPEAKER_05
Mungkin,139.418,139.618,0.864,SPEAKER_05
itu,139.658,139.799,0.783,SPEAKER_05
hanya,139.839,140.019,0.94,SPEAKER_05
perasaan,140.079,140.579,0.821,SPEAKER_05
adik-adik,140.659,140.999,0.859,SPEAKER_05
"saja,",141.059,141.459,0.892,SPEAKER_05
nanti,141.8,142.08,0.62,SPEAKER_05
mungkin,142.1,142.34,0.864,SPEAKER_05
bisa,142.4,142.64,0.931,SPEAKER_05
dilihat,142.7,143.02,0.923,SPEAKER_05
tayangan,143.04,143.3,0.826,SPEAKER_05
ulangnya,143.36,143.701,0.661,SPEAKER_05
setelah,143.761,144.101,0.749,SPEAKER_05
acara,144.161,144.421,0.859,SPEAKER_05
selesai.,144.461,144.941,0.561,SPEAKER_05
"Baik,",145.982,146.182,0.611,SPEAKER_05
bagaimana,146.522,146.722,0.33,SPEAKER_05
Dewan,146.742,146.882,0.579,SPEAKER_05
Juri,146.922,147.062,0.485,SPEAKER_05
kita,147.102,147.243,0.312,SPEAKER_05
bisa,147.263,147.383,0.319,SPEAKER_05
lanjutkan?,147.403,147.843,0.563,SPEAKER_05
Begini,148.243,148.603,0.707,SPEAKER_03
"ya,",148.623,148.863,0.783,SPEAKER_03
kan,149.544,149.684,0.608,SPEAKER_03
sudah,149.744,150.004,0.89,SPEAKER_03
diperingatkan,150.044,150.704,0.577,SPEAKER_03
dari,150.744,150.965,0.677,SPEAKER_03
awal,151.045,151.345,0.874,SPEAKER_03
"ya,",151.405,151.505,0.966,SPEAKER_03
artikulasi,152.005,153.306,0.663,SPEAKER_03
itu,153.466,153.746,0.946,SPEAKER_03
penting.,153.886,154.406,0.878,SPEAKER_03
"Jadi,",157.43,158.07,0.881,SPEAKER_03
biasakan,158.29,159.031,0.74,SPEAKER_03
menjawab,159.331,159.931,0.81,SPEAKER_03
itu,160.011,160.171,0.969,SPEAKER_03
dengan,160.251,160.471,0.868,SPEAKER_03
artikulasi,160.571,161.231,0.82,SPEAKER_03
yang,161.271,161.391,0.751,SPEAKER_03
jelas.,161.491,161.872,0.918,SPEAKER_03
Dewan,163.212,163.512,0.881,SPEAKER_03
"juri,",163.592,164.012,0.727,SPEAKER_03
kalau,164.412,164.652,0.77,SPEAKER_03
menurut,164.692,164.953,0.787,SPEAKER_03
kalian,165.013,165.413,0.891,SPEAKER_03
"sudah,",165.633,166.053,0.899,SPEAKER_03
tapi,166.213,166.473,0.797,SPEAKER_03
dewan,166.553,166.793,0.868,SPEAKER_03
juri,166.893,167.193,0.774,SPEAKER_03
menilai,167.453,167.834,0.857,SPEAKER_03
kalian,167.914,168.334,0.796,SPEAKER_03
tidak,168.414,168.674,0.811,SPEAKER_03
karena,168.734,168.954,0.38,SPEAKER_03
tidak,168.994,169.234,0.902,SPEAKER_03
mendengar,169.294,169.774,0.775,SPEAKER_03
artikulasi,169.894,170.454,0.873,SPEAKER_03
kalian,170.514,170.715,0.71,SPEAKER_03
dengan,170.755,170.935,0.834,SPEAKER_03
"jelas,",171.035,171.375,0.975,SPEAKER_03
Yaitu,172.243,172.523,0.705,SPEAKER_03
artinya,172.623,172.983,0.902,SPEAKER_03
Dewan,173.023,173.243,0.623,SPEAKER_03
Juri,173.283,173.444,0.713,SPEAKER_03
berhak,173.544,173.844,0.767,SPEAKER_03
memberikan,173.944,174.324,0.674,SPEAKER_03
nilai,174.364,174.624,0.733,SPEAKER_03
minus,174.644,174.944,0.808,SPEAKER_03
5.,174.964,175.224,0.859,SPEAKER_03
Jadi,175.645,175.825,0.882,SPEAKER_03
sekali,175.865,176.125,0.558,SPEAKER_03
lagi,176.145,176.325,0.756,SPEAKER_03
kami,176.365,176.585,0.475,SPEAKER_03
"peringatkan,",176.625,177.185,0.788,SPEAKER_03
artikulasi,177.425,178.646,0.719,SPEAKER_03
diperhatikan.,178.726,179.526,0.908,SPEAKER_03
Semangat,190.613,191.033,0.646,SPEAKER_05
"adik-adik,",191.333,191.834,0.476,SPEAKER_05
kakak-kakak,192.594,193.054,0.635,SPEAKER_05
host,193.074,193.214,0.374,SPEAKER_05
sudah,193.455,193.695,0.931,SPEAKER_05
selalu,193.735,193.955,1.0,SPEAKER_05
mengingatkan,194.015,194.535,0.695,SPEAKER_05
untuk,194.635,194.815,0.686,SPEAKER_05
ketika,194.855,195.135,0.9,SPEAKER_05
menjawab,195.195,195.636,0.794,SPEAKER_05
artikulasi,195.756,196.336,0.744,SPEAKER_05
yang,196.356,196.456,0.27,SPEAKER_05
"jelas,",196.516,196.936,0.91,SPEAKER_05
tidak,197.016,197.216,0.906,SPEAKER_05
perlu,197.316,197.517,0.892,SPEAKER_05
terburu-buru,197.597,198.337,0.734,SPEAKER_05
dan,198.397,198.537,0.752,SPEAKER_05
silakan,198.597,198.917,0.884,SPEAKER_05
menghadap,198.957,199.338,0.707,SPEAKER_03
kepada,199.398,199.658,0.925,SPEAKER_03
dewan,199.698,199.898,0.859,SPEAKER_03
juri.,199.978,200.258,0.75,SPEAKER_03
Ibu,200.558,200.778,0.912,SPEAKER_03
mohon,200.838,201.038,0.739,SPEAKER_03
"maaf,",201.098,201.519,0.808,SPEAKER_03
yang,202.179,202.319,0.75,SPEAKER_03
berhak,202.399,202.699,0.722,SPEAKER_03
menampilkan,202.759,203.56,0.769,SPEAKER_03
atau,203.66,203.84,0.589,SPEAKER_03
memprotes,203.86,204.38,0.857,SPEAKER_03
itu,204.44,204.6,0.865,SPEAKER_03
"peserta,",204.68,205.241,0.891,SPEAKER_03
guru,206.301,206.461,0.825,SPEAKER_03
pendamping,206.521,206.981,0.779,SPEAKER_03
tidak,207.042,207.262,0.97,SPEAKER_03
berhak.,207.342,207.622,0.61,SPEAKER_03
Tapi,210.133,210.513,0.815,SPEAKER_03
keputusan,210.593,211.193,0.796,SPEAKER_03
Dewan,211.253,211.514,0.799,SPEAKER_03
Juri,211.594,211.834,0.759,SPEAKER_03
bersifat,211.934,212.394,0.771,SPEAKER_03
final,212.474,212.754,0.685,SPEAKER_03
dan,212.814,212.914,0.921,SPEAKER_03
mengikat.,212.974,213.434,0.836,SPEAKER_03
Dan,213.874,213.974,0.404,SPEAKER_03
tidak,214.034,214.214,0.971,SPEAKER_03
dapat,214.274,214.514,0.906,SPEAKER_03
diganggu-gugat,214.554,215.194,0.574,SPEAKER_03
ya,215.234,215.294,0.304,SPEAKER_03
"Ibu,",215.334,215.535,0.614,SPEAKER_03
mohon,215.695,215.835,0.438,SPEAKER_03
maaf.,215.895,216.155,0.936,SPEAKER_03
"Baik,",216.875,217.715,0.789,SPEAKER_05
kita,217.855,218.035,0.881,SPEAKER_05
jujur,218.095,218.355,0.83,SPEAKER_05
sportifitas,218.455,219.295,0.701,SPEAKER_05
untuk,219.416,219.616,0.489,SPEAKER_05
lomba,219.696,220.056,0.712,SPEAKER_05
ini,220.096,220.276,0.764,SPEAKER_05
mohon,220.316,220.576,0.587,SPEAKER_05
diterima,220.636,221.156,0.756,SPEAKER_05
keputusan,221.196,221.656,0.811,SPEAKER_05
Dewan,221.716,222.036,0.952,SPEAKER_05
Juri,222.156,222.416,0.876,SPEAKER_05
Bapak,222.476,222.636,0.72,SPEAKER_05
Ibu,222.676,222.796,0.991,SPEAKER_05
dan,222.836,222.936,0.789,SPEAKER_05
juga,222.996,223.196,0.621,SPEAKER_05
adik-adik,223.256,223.617,0.773,SPEAKER_05
kebahagiaan,223.637,224.017,0.737,SPEAKER_05
bangsa.,224.097,224.517,0.783,SPEAKER_05
Maka,224.877,225.177,0.74,SPEAKER_05
bisa,225.217,225.397,0.857,SPEAKER_05
kita,225.437,225.597,0.73,SPEAKER_05
lanjutkan,225.637,226.157,0.902,SPEAKER_05
untuk,226.197,226.497,0.766,SPEAKER_05
soal,226.557,226.797,0.97,SPEAKER_05
berikutnya.,226.857,227.338,0.91,SPEAKER_05
